node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,resource_unit_price_current,resource_price_multiplier,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,fundamental_token_price,token_market_multiplier,token_speculation_premium,node_apr_error_cum,utilization_error_cum,step_cost_data,simulation,subset,run,substep,timestep
15106,18727.2,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1248480000.0,1470000000.0,0,0.8493061224489796,24969.600000000002,249.69600000000003,2e-05,1.0,5992.704000000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,753424.6575342466,3515981.735159817,7031963.470319634,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 0.8418039275993319, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.0004164931278633896, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.61133202878244, 'decentralization_cost': 0.0}",0,0,1,11,2
15106,18727.2,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1248480000.0,1470000000.0,0,0.8493061224489796,24969.600000000002,249.69600000000003,2e-05,1.0,5992.704000000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,753424.6575342466,3515981.735159817,7031963.470319634,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,12,2
15106,18727.2,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1273449600.0,1470000000.0,0,0.8493061224489796,24969.600000000002,249.69600000000003,2e-05,1.0,5992.704000000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,753424.6575342466,3515981.735159817,7031963.470319634,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,1,3
15106,18727.2,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1273449600.0,1470000000.0,0,0.8493061224489796,24969.600000000002,249.69600000000003,2e-05,1.0,5992.704000000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,2,3
15106,18727.2,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1273449600.0,1480388000.0,0,0.860213403513133,24969.600000000002,249.69600000000003,2e-05,1.0,5992.704000000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,3,3
15106,19101.744000000002,1853.5522914492733,19110.752291449273,1470.0,44.32203622603518,106.0,1273449600.0,1480388000.0,0,0.860213403513133,25468.992000000002,254.68992000000003,2e-05,1.0,6112.558080000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,506624176.5382342,2467312.1771275443,0.004859935154866361,0.004859935154866361,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,4,3
15106,19101.744000000002,1833.2648649162825,19454.620864916287,1480.388,44.825944063295346,106.0,1273449600.0,1480388000.0,0,0.860213403513133,25468.992000000002,254.68992000000003,2e-05,1.0,6112.558080000001,2739.72602739726,25006388.451945208,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,507000888.8670013,2465478.912262628,0.005011468951645278,0.004866484914141405,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,5,3
15106,19101.744000000002,1833.2648649162825,19454.620864916287,1480.388,44.825944063295346,106.0,1273449600.0,1480388000.0,0,0.860213403513133,25468.992000000002,254.68992000000003,2e-05,1.0,6112.558080000001,2739.72602739726,25009761.28399781,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,507000888.8670013,2465478.912262628,0.005011468951645278,0.004866484914141405,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,6,3
15106,19101.744000000002,1833.2648649162825,19454.620864916287,1480.388,44.825944063295346,106.0,1273449600.0,1480388000.0,0,0.860213403513133,25468.992000000002,254.68992000000003,2e-05,1.0,6112.558080000001,2739.72602739726,25009761.28399781,5607684176.538235,9999898788.41038,51491.18336385211,101211.58961969372,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,510516870.6021611,2448498.9076376827,0.004973256472170086,0.004829377938783031,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,7,3
15106,19101.744000000002,1833.2648649162825,19454.620864916287,1480.388,44.825944063295346,106.0,1273449600.0,1480388000.0,0,0.860213403513133,25468.992000000002,254.68992000000003,2e-05,1.0,6112.558080000001,2739.72602739726,25009761.28399781,5607684176.538235,9999898788.41038,53097.82946801856,154309.41908771227,0,0,151060000,376712.3287671233,1130136.98630137,3515981.735159817,10547945.20547945,0,510463772.7726931,2448753.5975576825,0.004939518897213862,0.004796616406955067,1.029792353220405,2.9792353220404966,0.14625533567372437,0,"{'total_cost': 253.0988995626509, 'price_stability_cost': 841.7523717458657, 'utilization_efficiency_cost': 6.663890045813124e-07, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.821252481959642, 'decentralization_cost': 0.0}",0,0,1,8,3
