timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
12,1,0,1202642641.5846336,1885814000.0,0.6377313147450563,521401515.9129162,2397384.6677668137,0.004576807868739906,2054794.5205479453,3515981.735159817,24657534.246575344,42191780.8219178,52802.00834235756,607799.1555767232,0,0,9999392200.844423,3216241515.912916,194840000,19484,25677.58566490248,18039.639623769508,9523.760041132971,1885.8139999999999,46.54764592377945,241.0,5772.684679606242,2739.72602739726,25036319.370382067
13,1,0,1202883170.1129506,1909432000.0,0.6299691060550732,524678851.12282,2382409.7299233275,0.004521397791797753,2054794.5205479453,3515981.735159817,26712328.76712329,45707762.55707762,53441.04580387577,661240.2013805989,0,0,9999338759.79862,3221758851.12282,197080000,19708,25544.596892535614,18043.247551694258,9410.781340841357,1909.432,45.757840337653924,224.0,5773.839216542163,2739.72602739726,25039353.483571213
14,1,0,1203123746.746973,1931384000.0,0.6229334750349869,528115508.76049185,2366906.4423686387,0.004464214432713828,2054794.5205479453,3515981.735159817,28767123.287671234,49223744.29223743,54118.61803589778,715358.8194164967,0,0,9999284641.180584,3227275508.760492,199160000,19916,25409.28226865761,18046.856201204595,9293.810067453018,1931.384,45.022633450210684,208.0,5774.993984385471,2739.72602739726,25042388.751528203
15,1,0,1203364371.4963224,1951768000.0,0.6165509279260252,531691451.6898324,2350987.581288404,0.004405639086383707,2054794.5205479453,3515981.735159817,30821917.80821918,52739726.027397245,54833.32636717047,770192.1457836671,0,0,9999229807.854216,3232791451.6898327,201100000,20110,25272.177034289754,18050.46557244484,9173.479461844918,1951.7679999999998,44.3368645375305,194.0,5776.148983182348,2739.72602739726,25045425.17448399
16,1,0,1203605044.3706217,1970780000.0,0.610725217614661,535386646.26578,2334761.258463414,0.0043461138738561025,2054794.5205479453,3515981.735159817,32876712.328767125,56255707.76255706,55581.6797601718,825773.8255438389,0,0,9999174226.174456,3238306646.26578,202920000,20292,25134.03173013407,18054.075665559325,9050.736064574743,1970.78,43.694114078542455,182.0,5777.304212978984,2739.72602739726,25048462.752669573
17,1,0,1203845765.3794959,1988616000.0,0.6053686409942874,539201062.4220442,2318244.690366722,0.004285894133736949,2054794.5205479453,3515981.735159817,34931506.84931507,59771689.497716874,56360.09944370537,882133.9249875443,0,0,9999117866.075012,3243821062.4220443,204620000,20462,24995.540002021342,18057.68648069244,8926.469521328901,1988.616,43.08857758462602,170.0,5778.4596738215805,2739.72602739726,25051501.486316
18,1,0,1204086534.5325718,2005276000.0,0.6004592557496184,543124669.5715003,2301497.3725759694,0.0042251429989694275,2054794.5205479453,3515981.735159817,36986301.36986302,63287671.23287669,57169.106251722114,939303.0312392664,0,0,9999060696.968761,3249334669.5715003,206210000,20621,24856.881031252145,18061.298017988578,8800.859013263569,2005.2759999999998,42.51846219722377,159.0,5779.615365756345,2739.72602739726,25054541.37565436
19,1,0,1204327351.8394783,2020858000.0,0.5959485287137831,547137438.7039113,2284617.9251799462,0.004164167014517048,2054794.5205479453,3515981.735159817,39041095.89041097,66803652.9680365,58007.123296826125,997310.1545360925,0,0,9999002689.845465,3254847438.7039113,207710000,20771,24718.45126307218,18064.91027759218,8674.398985480002,2020.858,41.98043255408346,150.0,5780.771288829496,2739.72602739726,25057582.420915794
20,1,0,1204568217.3098462,2035558000.0,0.5917631515829301,551239344.5630169,2267617.5282642622,0.004103176002239323,2054794.5205479453,3515981.735159817,41095890.410958916,70319634.70319632,58870.39660231673,1056180.5511384092,0,0,9998943819.448862,3260359344.563017,209120000,20912,24580.829031578935,18068.523259647693,8547.863771931243,2035.558,41.46972724054934,141.0,5781.927443087262,2739.72602739726,25060624.622331485
21,1,0,1204809130.953308,2049376000.0,0.5878907193962006,555420361.4692512,2250547.669324511,0.004042292246358617,2054794.5205479453,3515981.735159817,43150684.931506865,73835616.43835613,59759.349473575996,1115939.9006119852,0,0,9998884060.099388,3265870361.469251,210450000,21045,24444.119049699748,18072.13696429962,8421.358085400128,2049.3759999999997,40.98525616971547,133.0,5783.083828575879,2739.72602739726,25063667.980132665
22,1,0,1205050092.7794988,2062410000.0,0.5842922080379259,559680465.4734136,2233417.2391431797,0.003981629411513996,2054794.5205479453,3515981.735159817,45205479.45205481,77351598.17351595,60672.2515454807,1176612.152157466,0,0,9998823387.847843,3271380465.4734135,211700000,21170,24308.62230147454,18075.751391692484,8295.280909782057,2062.41,40.52437322139704,125.0,5784.240445341594,2739.72602739726,25066712.49455061
23,1,0,1205291102.7980547,2074660000.0,0.5809583752509109,564009632.2346826,2216274.20625306,0.0039212931020871965,2054794.5205479453,3515981.735159817,47260273.97260276,80867579.90867576,61609.49443893409,1238221.6465964,0,0,9998761778.353403,3276889632.2346826,212880000,21288,24174.415356649926,18079.366541970823,8169.708814679103,2074.66,40.086228128703155,118.0,5785.397293430663,2739.72602739726,25069758.165816646
24,1,0,1205532161.0186143,2086224000.0,0.577853653787232,568397839.2102449,2199163.8844665606,0.003861448637879648,2054794.5205479453,3515981.735159817,49315068.49315071,84383561.64383557,62569.28014558417,1300790.9267419842,0,0,9998699209.073257,3282397839.210245,214000000,21400,24041.75802980137,18082.982415279213,8044.999614522157,2086.2239999999997,39.668429648091376,112.0,5786.554372889349,2739.72602739726,25072804.99416214
25,1,0,1205773267.450818,2097200000.0,0.5749443388569607,572845065.7172078,2182090.8912517023,0.003802180920854477,2054794.5205479453,3515981.735159817,51369863.01369866,87899543.37899539,63549.74874493459,1364340.6754869188,0,0,9998635659.324512,3287905065.717208,215060000,21506,23910.880362519503,18086.59901176227,7921.481350757234,2097.2,39.26871968988507,106.0,5787.711683763927,2739.72602739726,25075852.979818508
26,1,0,1206014422.1043081,2107588000.0,0.5722249424955486,577351290.7651638,2165059.6785596106,0.003743502803798048,2054794.5205479453,3515981.735159817,53424657.53424661,91415525.1141552,64551.20775182275,1428891.8832387414,0,0,9998571108.116762,3293411290.765164,216060000,21606,23781.80992264603,18090.21633156462,7799.181591081409,2107.5879999999997,38.88652863365735,100.0,5788.869226100679,2739.72602739726,25078902.123017214
27,1,0,1206255624.988729,2117388000.0,0.5696904039263134,581906493.052129,2148111.449046889,0.003685489438057556,2054794.5205479453,3515981.735159817,55479452.05479456,94931506.84931502,65573.968742659,1494465.8519814005,0,0,9998505534.148018,3298916493.052129,217010000,21701,23654.572092081307,18093.834374830938,7678.125717250368,2117.388,38.521324500145,95.0,5790.0269999459,2739.72602739726,25081952.423989765
28,1,0,1206496876.1137266,2126698000.0,0.5673099218195187,586510653.2282459,2131248.5853748913,0.0036282089432020702,2054794.5205479453,3515981.735159817,57534246.575342506,98447488.58447483,66616.07959107775,1561081.9315724783,0,0,9998438918.068428,3304420653.2282457,217910000,21791,23529.35145444267,18097.4531417059,7558.59631273677,2126.698,38.17106685134342,90.0,5791.1850053458875,2739.72602739726,25085003.882967714
29,1,0,1206738175.4889493,2135518000.0,0.5650798426840463,591163751.6782479,2114473.3526901673,0.0035716625613780627,2054794.5205479453,3515981.735159817,59589041.095890455,101963470.31963465,67677.80570578043,1628759.7372782587,0,0,9998371240.262722,3309923751.678248,218760000,21876,23406.150970267772,18101.07263233424,7440.596337933534,2135.518,37.83533193078974,85.0,5792.343242346957,2739.72602739726,25088056.500182666
30,1,0,1206979523.124047,2143848000.0,0.5629967810796507,595855768.5186758,2097823.1076080017,0.003515909942037071,2054794.5205479453,3515981.735159817,61643835.616438404,105479452.05479446,68759.41528001353,1697519.1525582722,0,0,9998302480.847443,3315425768.518676,219570000,21957,23284.9723320732,18104.692846860708,7324.127485212493,2143.848,37.51372116446632,81.0,5793.501710995426,2739.72602739726,25091110.275866266
