timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
191,1,0,10512077801.389465,3315685889.955002,1.0,1009957621.1454456,1237675.6943349221,0.0013399097797744696,376712.3287671233,3515981.735159817,71952054.79452035,671552511.4155269,654128.6902886153,41346945.064620964,0,0,9958653054.935379,6302157621.145446,342200000,34220,56828.00954851778,59682.34601919004,461.34941928274407,3315.6858899550016,60.47834367487063,338.0,19098.35072614081,2739.72602739726,25979783.829990175
192,1,0,10701820805.704544,3373914203.8150096,1.0,1009764892.2075478,1237911.9235045754,0.0013547599438121672,376712.3287671233,3515981.735159817,72328767.12328747,675068493.1506867,665423.0018248319,42012368.0664458,0,0,9957987631.933554,6305384892.207548,345620000,34562,57818.020083985226,60730.45566867017,461.47861913006545,3373.9142038150094,60.9239735537639,342.0,19433.745813974452,2739.72602739726,25996477.849776752
193,1,0,10894988671.24751,3433036696.8922963,1.0,1009530767.8829732,1238199.0126178488,0.0013783525144039892,376712.3287671233,3515981.735159817,72705479.45205459,678584474.8858466,676818.3885016798,42689186.45494748,0,0,9957310813.545052,6308600767.882973,349070000,34907,58823.27861063763,61794.660544061335,461.65476346859305,3433.0366968922963,61.36961029644389,345.0,19774.291374099626,2739.72602739726,26013512.415123455
194,1,0,11091643216.763527,3490700000.0,1.0,1009245600.7892898,1238548.8715754244,0.0013829906214340775,376712.3287671233,3515981.735159817,73082191.78082171,682100456.6210065,687861.1576104321,43377047.61255791,0,0,9956622952.387442,6311805600.789289,352560000,35256,59803.768876763475,62832.600000000006,461.86887676346964,3490.7,61.775546239739676,349.0,20106.432,2739.72602739726,26030879.12109606
195,1,0,11291847376.826107,3525600000.0,1.0,1008923951.9710616,1238943.7256970678,0.0014072091239593018,376712.3287671233,3515981.735159817,73458904.10958883,685616438.3561664,694342.8821552993,44071390.49471321,0,0,9955928609.505287,6315003951.971062,356080000,35608,60397.32987137946,63460.8,462.1298713794504,3525.6,61.77066759807459,352.0,20307.456000000002,2739.72602739726,26048446.851068664
196,1,0,11495665221.977818,3560800000.0,1.0,1008555820.6020689,1239395.9505918422,0.0013965682437264582,376712.3287671233,3515981.735159817,73835616.43835595,689132420.0913262,700825.4329197695,44772215.92763298,0,0,9955227784.072367,6318195820.602069,359640000,35964,60996.02452088598,64094.399999999994,462.42452088598867,3560.7999999999997,61.76581649106841,356.0,20510.208,2739.72602739726,26066217.33304127
197,1,0,11703161979.234516,3596400000.0,1.0,1008151201.7288293,1239893.3789460082,0.001420389596813829,376712.3287671233,3515981.735159817,74212328.76712307,692648401.8264861,707312.9371667071,45479528.864799686,0,0,9954520471.1352,6321381201.728829,363230000,36323,61601.56209714015,64735.200000000004,462.7620971401482,3596.3999999999996,61.76097299690092,359.0,20715.264,2739.72602739726,26084192.871013872
198,1,0,11914404052.959698,3632300000.0,1.0,1007700097.9657211,1240448.425601481,0.0014417094004036857,376712.3287671233,3515981.735159817,74589041.0958902,696164383.561646,713797.8270351692,46193326.69183485,0,0,9953806673.308165,6324560097.965721,366860000,36686,62212.233559017186,65381.399999999994,463.1335590172005,3632.2999999999997,61.756154608964664,363.0,20922.048,2739.72602739726,26102375.192986477
199,1,0,12129459046.11562,3668600000.0,1.0,1007212508.1383445,1241048.9245317676,0.0014515427868423841,376712.3287671233,3515981.735159817,74965753.42465732,699680365.2968059,720283.8913036125,46913610.583138466,0,0,9953086389.416862,6327732508.138345,370520000,37052,62829.74822405581,66034.8,463.54822405579995,3668.6,61.75134167932272,366.0,21131.136000000002,2739.72602739726,26120766.60295908
200,1,0,12348395781.898005,3705200000.0,1.0,1006678438.3827548,1241707.334079969,0.0014586331441065461,376712.3287671233,3515981.735159817,75342465.75342444,703196347.0319657,726763.8195167705,47640374.40265524,0,0,9952359625.597345,6330898438.382755,374220000,37422,63452.39705453138,66693.6,463.99705453136704,3705.2,61.74655137639199,370.0,21341.952,2739.72602739726,26139368.828931686
