node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,node_apr_error_cum,step_cost_data,simulation,subset,run,substep,timestep
5512,6002.400240000001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400160016.0,514500000.0,0,0.7777648513119534,8003.200320000001,80.0320032,1920.7680768,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,20547945.205479454,3150684.9315068494,9452054.794520548,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1590.6243935446503, 'price_stability_cost': 5163.416524403684, 'utilization_efficiency_cost': 0.0015542336022043852, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 277.326984434297, 'decentralization_cost': 0.0}",0,0,1,10,3
5512,6002.400240000001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400160016.0,514500000.0,0,0.7777648513119534,8003.200320000001,80.0320032,1920.7680768,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,20547945.205479454,3150684.9315068494,9452054.794520548,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,11,3
5512,6002.400240000001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400240048.0032,514500000.0,0,0.7777648513119534,8003.200320000001,80.0320032,1920.7680768,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,20547945.205479454,3150684.9315068494,9452054.794520548,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,1,4
5512,6002.400240000001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400240048.0032,514500000.0,0,0.7777648513119534,8003.200320000001,80.0320032,1920.7680768,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,2,4
5512,6002.400240000001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8003.200320000001,80.0320032,1920.7680768,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,3,4
5512,6003.600720048001,31556.05584129514,37043.95608129514,514.5,246.20077172153538,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8004.800960064001,80.04800960064001,1921.15223041536,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,524828234.1372886,2381731.619402578,0.004515574164919171,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,4,4
5512,6003.600720048001,30682.563697205813,36145.988417253815,540.1759999999999,229.09311304189055,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8004.800960064001,80.04800960064001,1921.15223041536,2739.72602739726,24997541.973994613,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,531677549.2057817,2351049.0557053722,0.004479654299792048,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,5,4
5512,6003.600720048001,30682.563697205813,36145.988417253815,540.1759999999999,229.09311304189055,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8004.800960064001,80.04800960064001,1921.15223041536,2739.72602739726,24996723.400197633,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,531677549.2057817,2351049.0557053722,0.004479654299792048,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,6,4
5512,6003.600720048001,30682.563697205813,36145.988417253815,540.1759999999999,229.09311304189055,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8004.800960064001,80.04800960064001,1921.15223041536,2739.72602739726,24996723.400197633,1579948234.1372886,9999948234.13729,17812.629150511995,51765.86271141805,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,534828234.1372886,2337198.9738281635,0.004395895552331416,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,7,4
5512,6003.600720048001,30682.563697205813,36145.988417253815,540.1759999999999,229.09311304189055,262.0,400240048.0032,540176000.0,0,0.7409437812920233,8004.800960064001,80.04800960064001,1921.15223041536,2739.72602739726,24996723.400197633,1579948234.1372886,9999948234.13729,18316.99819358867,70082.86090500672,0,0,55120000,6849315.068493151,27397260.273972604,3150684.9315068494,12602739.726027397,0,534809917.139095,2337279.021837764,0.004370148905111454,0.0005210062933722798,"{'total_cost': 1167.7440220673943, 'price_stability_cost': 3773.687839989316, 'utilization_efficiency_cost': 0.007222030042884705, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 237.5724304205934, 'decentralization_cost': 0.0}",0,0,1,8,4
