timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
2254,1,0,1883019306.7352033,3548776000.0,0.5306109223955536,1970238607.786815,634440.9225662962,0.0003219991528572833,0.0,0.0,3000000000.0,3850000000.0,1170322.5072190447,5167561392.213156,0,0,4832438607.786844,4832438607.786815,362200000,36220,24696.513601028048,28245.28960102805,0.0,3548.776,24.813132274284005,8.0,9038.492672328975,2739.72602739726,35226159.38856858
2255,1,0,1883395910.5965502,3549560000.0,0.5305998238081763,1968989535.1818383,634843.394373126,0.00032240780888141663,0.0,0.0,3000000000.0,3850000000.0,1169072.604976612,5168730464.818132,0,0,4831269535.181868,4831269535.181838,362280000,36228,24701.37865894825,28250.938658948253,0.0,3549.56,24.812437707207252,8.0,9040.30037086344,2739.72602739726,35232459.962912045
2256,1,0,1883772589.7786696,3550344000.0,0.5305887513375238,1967741710.6024663,635245.9742377913,0.0003228168338702316,0.0,0.0,3000000000.0,3850000000.0,1167824.5793719552,5169898289.397505,0,0,4830101710.602495,4830101710.602467,362360000,36236,24706.244846680045,28256.588846680046,0.0,3550.344,24.811744451383877,8.0,9042.108430937615,2739.72602739726,35238762.34531558
2257,1,0,1884149344.2966254,3551128000.0,0.5305777049705405,1966495132.1758199,635648.6622048969,0.0003232262280778537,0.0,0.0,3000000000.0,3850000000.0,1166578.4266464661,5171064867.824151,0,0,4828935132.175849,4828935132.175819,362440000,36244,24711.11216444938,28262.24016444938,0.0,3551.1279999999997,24.811052506044454,8.0,9043.9168526238,2739.72602739726,35245066.53614081
2258,1,0,1884526174.1654847,3551912000.0,0.5305666846941829,1965249798.032769,636051.4583190707,0.0003236359917586033,0.0,0.0,3000000000.0,3850000000.0,1165334.143050946,5172230201.967202,0,0,4827769798.032798,4827769798.032769,362520000,36252,24715.980612482275,28267.892612482276,0.0,3551.912,24.810361870420163,8.0,9045.725635994328,2739.72602739726,35251372.535749406
2259,1,0,1884903079.4003177,3552696000.0,0.5305556904954203,1964005706.3079233,636454.3626249642,0.0003240461251669955,0.0,0.0,3000000000.0,3850000000.0,1164091.7248455754,5173394293.692048,0,0,4826605706.307952,4826605706.307923,362600000,36260,24720.850191004767,28273.546191004767,0.0,3552.696,24.80967254374277,8.0,9047.534781121525,2739.72602739726,35257680.34450313
2260,1,0,1885280060.0161977,3553480000.0,0.530544722361234,1962762855.1396234,636857.375167252,0.0003244566285577407,0.0,0.0,3000000000.0,3850000000.0,1162851.168299886,5174557144.860348,0,0,4825442855.139652,4825442855.139624,362680000,36268,24725.72090024297,28279.20090024297,0.0,3553.48,24.80898452524468,8.0,9049.34428807775,2739.72602739726,35263989.96276381
2261,1,0,1885657116.0282009,3554264000.0,0.5305337802786178,1961521242.6699307,637260.4959906325,0.00032486750218574433,0.0,0.0,3000000000.0,3850000000.0,1161612.4696927336,5175718757.330041,0,0,4824281242.669959,4824281242.66993,362760000,36276,24730.59274042302,28284.85674042302,0.0,3554.2639999999997,24.80829781415886,8.0,9051.154156935365,2739.72602739726,35270301.39089335
2262,1,0,1886034247.4514065,3555048000.0,0.5305228642345775,1960280867.0446184,637663.7251398272,0.0003252787463061074,0.0,0.0,3000000000.0,3850000000.0,1160375.625312269,5176879132.955353,0,0,4823120867.044647,4823120867.044619,362840000,36284,24735.4657117711,28290.5137117711,0.0,3555.048,24.807612409718885,8.0,9052.964387766751,2739.72602739726,35276614.629253715
2263,1,0,1886411454.3008966,3555832000.0,0.5305119742161318,1959041726.4131625,638067.0626595813,0.0003256903611741266,0.0,0.0,3000000000.0,3850000000.0,1159140.6314559104,5178038273.586809,0,0,4821961726.413191,4821961726.413162,362920000,36292,24740.339814513452,28296.17181451345,0.0,3555.832,24.806928311158966,8.0,9054.774980644304,2739.72602739726,35282929.67820696
2264,1,0,1886788736.5917568,3556616000.0,0.5305011102103114,1957803818.9287322,638470.5085946632,0.0003261023470452942,0.0,0.0,3000000000.0,3850000000.0,1157907.4844303173,5179196181.071239,0,0,4820803818.928761,4820803818.928732,363000000,36300,24745.21504887635,28301.831048876353,0.0,3556.616,24.806245517713872,8.0,9056.585935640433,2739.72602739726,35289246.538115196
2265,1,0,1887166094.339075,3557400000.0,0.530490272204159,1956567142.7481809,638874.0629898651,0.0003265147041752984,0.0,0.0,3000000000.0,3850000000.0,1156676.1805513594,5180352857.251791,0,0,4819647142.748209,4819647142.74818,363080000,36308,24750.091415086128,28307.491415086126,0.0,3557.3999999999996,24.805564028619003,8.0,9058.39725282756,2739.72602739726,35295565.209340625
2266,1,0,1887543527.5579429,3558184000.0,0.5304794601847299,1955331696.0320368,639277.7258900022,0.0003269274328200237,0.0,0.0,3000000000.0,3850000000.0,1155446.7161440933,5181508303.967936,0,0,4818491696.032064,4818491696.032037,363160000,36316,24754.968913369146,28313.152913369147,0.0,3558.1839999999997,24.80488384311032,8.0,9060.208932278127,2739.72602739726,35301885.692245506
2267,1,0,1887921036.2634544,3558968000.0,0.5304686741390916,1954097476.944494,639681.4973399137,0.0003273405332355507,0.0,0.0,3000000000.0,3850000000.0,1154219.087542731,5182662523.055478,0,0,4817337476.944522,4817337476.944494,363240000,36324,24759.847543951815,28318.815543951816,0.0,3558.968,24.804204960424425,8.0,9062.02097406458,2739.72602739726,35308207.98719217
2268,1,0,1888298620.4707072,3559752000.0,0.5304579140543237,1952864483.6534033,640085.377384462,0.0003277540056781566,0.0,0.0,3000000000.0,3850000000.0,1152993.2910906156,5183815516.346569,0,0,4816184483.653431,4816184483.653403,363320000,36332,24764.72730706061,28324.47930706061,0.0,3559.752,24.80352737979849,8.0,9063.833378259396,2739.72602739726,35314532.09454303
2269,1,0,1888676280.1948013,3560536000.0,0.5304471799175184,1951632714.3302631,640489.3660685334,0.00032816785040431503,0.0,0.0,3000000000.0,3850000000.0,1151769.3231401918,5184967285.669709,0,0,4815032714.330291,4815032714.330263,363400000,36340,24769.60820292202,28330.14420292202,0.0,3560.536,24.80285110047027,8.0,9065.646144935046,2739.72602739726,35320858.01466057
2270,1,0,1889054015.4508402,3561320000.0,0.5304364717157796,1950402167.1502101,640893.4634370373,0.0003285820676706966,0.0,0.0,3000000000.0,3850000000.0,1150547.1800529805,5186117832.849762,0,0,4813882167.150238,4813882167.15021,363480000,36348,24774.490231762604,28335.810231762604,0.0,3561.3199999999997,24.802176121678155,8.0,9067.459274164034,2739.72602739726,35327185.74790733
